Gene,log2_FoldChange,minus_log10_pvalue
GJC1,-0.1674,0.363411816
HIGD1B,-0.1381,0.13990167
EFTUD2,-0.3341,0.740167301
CCDC103,0.1406,0.142908845
DCAKD,-0.07431,0.280502983
NMT1,0.032,0.061180175
PLCD3,-0.3907,0.899629455
ACBD4,-0.01403,0.015742798
HEXIM1,-0.1471,0.422968014
HEXIM2,0.2256,0.717831222
LOC100133991,0.4128,0.815024809
MAP3K14,0.02319,0.051684859
ARHGAP27,0.3082,0.477555766
LRRC37A4,-0.404,0.613322716
LOC644172,0.07311,0.1103622
CRHR1,0.3862,0.488383979
MGC57346,0.1902,0.516270101
C17orf69,0.09151,0.179076412
MAPT-AS1,0.2712,0.325047052
SPPL2C,0.3743,0.470184803
MAPT,0.402,0.734239083
MAPT-IT1,0.3044,0.408935393
KANSL1,-0.03726,0.050756409
ARL17A,0.08583,0.083598696
LRRC37A2,0.02231,0.021545567
WNT3,-0.09804,0.103143227
WNT9B,-0.1678,0.200935281
GOSR2,-0.02434,0.045950553
RPRML,0.319,0.38902062
CDC27,-0.1923,0.857923539
ITGB3,-0.5065,0.79290446
C17orf57,-0.1274,0.213319547
MRPL45P2,0.02645,0.025718641
NPEPPS,-0.09791,0.355069292
KPNB1,-0.2208,0.650139918
TBKBP1,-0.1046,0.150457748
OSBPL7,-0.151,0.183427304
MRPL10,-0.06852,0.105462415
LRRC46,0.4121,0.548367053
SCRN2,-0.1789,0.325782054
SP2,0.04061,0.151502982
PNPO,-0.06101,0.101933339
CDK5RAP3,-0.1431,0.204119983
NFE2L1,-0.1537,0.451733455
CBX1,0.05808,0.210913085
SNX11,0.1394,0.375202421
SKAP1,-0.05441,0.065148197
HOXB2,0.06126,0.070172519
HOXB3,0.2153,0.436637591
HOXB4,0.2826,0.495121541
MIR10A,-0.1712,0.181444221
HOXB-AS3,-0.02308,0.028306761
HOXB5,0.111,0.119701009
HOXB6,0.3703,0.640354207
HOXB7,0.3076,0.655804284
HOXB8,0.2721,0.459670525
HOXB9,0.1678,0.215882184
TTLL6,-0.09517,0.092427421
ATP5G1,0.1478,0.269298456
UBE2Z,-0.09148,0.335170059
SNF8,-0.007774,0.010817249
IGF2BP1,-0.1228,0.200935281
ZNF652,0.1076,0.163296201
PHB,-0.08866,0.153539175
NGFR,-0.1606,0.166597871
NXPH3,0.2207,0.264480941
SPOP,0.1058,0.492144128
SLC35B1,0.0219,0.049586461
KAT7,-0.0869,0.15832775
FLJ45513,-0.1199,0.141282385
LOC284080,0.2082,0.225556031
ITGA3,-0.1813,0.261695207
PDK2,-0.07185,0.105517785
PPP1R9B,0.1657,0.374687549
TMEM92,-0.5436,0.927750102
XYLT2,-0.3209,0.637894681
MRPL27,-0.02183,0.037725395
EME1,-0.4207,0.692717953
LRRC59,0.03751,0.076186279
CHAD,-0.4713,0.645123577
RSAD1,-0.02569,0.033295223
MYCBPAP,-0.02688,0.024430342
EPN3,-0.01739,0.017367006
SPATA20,-0.1632,0.227604939
LOC253962,-0.01191,0.010906307
CACNA1G,0.02051,0.019678414
ABCC3,-0.1283,0.130006
ANKRD40,-0.218,0.652279783
LUC7L3,-0.09684,0.097833871
WFIKKN2,-0.04743,0.044841613
TOB1,0.1066,0.203009609
LOC400604,0.3306,0.659754238
SPAG9,0.142,0.294392837
NME1,-0.05692,0.090123182
NME2,-0.2227,0.500038134
MBTD1,0.1645,0.285921835
UTP18,0.2492,0.65130581
CA10,0.2064,0.244430019
TOM1L1,-0.3155,0.435097327
COX11,0.03138,0.078625705
STXBP4,-0.1004,0.197431502
HLF,-0.1716,0.183029962
MMD,-0.06131,0.102757897
PCTP,-0.3257,0.626536278
ANKFN1,0.3095,0.464452721
NOG,-0.3953,0.610302452
C17orf67,-0.1318,0.134955278
DGKE,0.1072,0.145876218
TRIM25,-0.4506,0.740406121
RNF126P1,0.06398,0.088363067
AKAP1,0.1109,0.181180492
MSI2,-0.0794,0.13768969
MRPS23,0.1566,0.349109922
VEZF1,0.03055,0.076963331
SRSF1,-0.08366,0.207748428
DYNLL2,0.2026,0.49376564
EPX,0.3365,0.64435695
MKS1,-0.04076,0.083177715
LPO,0.4518,0.615646586
BZRAP1,0.343,0.632085261
LOC100506779,0.3127,0.754487332
SUPT4H1,0.0224,0.040672354
MTMR4,0.07172,0.096910013
Sep-04,0.1594,0.217814134
TEX14,0.151,0.2142432
RAD51C,0.09271,0.170374647
PPM1E,0.2523,0.535063571
SKA2,0.1429,0.376027488
PRR11,-0.3226,0.928117993
SMG8,0.1832,0.489723156
DHX40,0.05524,0.076963331
CLTC,-0.05569,0.259558355
PTRH2,0.1412,0.442974278
VMP1,0.07522,0.130299026
MIR21,0.0772,0.074791079
TUBD1,0.1558,0.475993554
RPS6KB1,-0.007767,0.016283526
RNFT1,-0.4,0.897223385
MIR4737,-0.01148,0.010461197
HEATR6,-0.06797,0.273435784
LOC645638,0.1527,0.157640427
CA4,-0.2245,0.2486439
USP32,0.09368,0.454198243
PPM1D,-0.1292,0.520856752
BCAS3,-0.08527,0.242831808
C17orf82,-0.1756,0.190574971
NACA2,-0.3141,0.614215041
BRIP1,-0.2776,0.319664487
INTS2,0.05862,0.20238627
MED13,0.1046,0.305307074
METTL2A,0.1997,0.57105571
TLK2,0.0808,0.314885531
Mar-10,0.3476,0.436993813
TANC2,0.192,0.402743717
CYB561,0.06574,0.068389594
ACE,0.04761,0.052419251
KCNH6,0.2527,0.309715297
DCAF7,0.0562,0.097833871
TACO1,0.08938,0.117703199
MAP3K3,-0.2659,0.459420283
LIMD2,0.1564,0.287266141
LOC729683,0.3453,0.556267759
STRADA,0.1405,0.447575154
CCDC47,-0.04839,0.089375595
DDX42,0.09628,0.521145032
FTSJ3,-0.1983,0.362010219
PSMC5,0.07712,0.132768285
SCN4A,-0.2218,0.243744351
C17orf72,0.2546,0.287182
ERN1,-0.3429,0.699404516
SNORD104,-0.2373,0.270997291
TEX2,0.06663,0.11650891
POLG2,-0.1172,0.16806627
DDX5,0.07973,0.198527686
MIR3064,-0.1373,0.139422449
MIR5047,-0.1776,0.187688391
CEP95,-0.07874,0.09669292
SMURF2,-0.09649,0.409827168
LOC146880,-0.04609,0.060380921
PLEKHM1P,-0.003212,0.004057837
LRRC37A3,0.09913,0.163612581
AMZ2P1,0.05842,0.168514161
GNA13,-0.2756,0.624519285
RGS9,-0.06278,0.075462282
AXIN2,-0.2103,0.404724288
PRKCA,-0.03773,0.056752875
CACNG5,-0.2966,0.353204311
CACNG4,0.2498,0.802719442
CACNG1,0.2877,0.363913485
HELZ,-0.01869,0.034046111
PSMD12,0.09084,0.278601624
NOL11,0.1501,0.41827784
BPTF,-0.0382,0.068237112
C17orf58,0.03877,0.100891142
LOC100499466,-0.08964,0.254769015
LOC440461,-0.2494,0.280006174
AMZ2,0.01276,0.034375033
ARSG,-0.4325,0.957030927
SLC16A6,-0.04533,0.047885915
MIR635,-0.3942,0.504039605
PRKAR1A,-0.007576,0.017774008
FAM20A,-0.5234,0.743522794
ABCA8,0.3184,0.397722916
ABCA9,-0.4185,0.548060131
ABCA10,-0.1126,0.111371275
ABCA5,0.0807,0.107738393
MAP2K6,-0.2699,0.602233744
KCNJ16,0.3542,0.471726223
KCNJ2-AS1,0.153,0.233735909
KCNJ2,0.04723,0.056554951
SOX9,-0.1137,0.271808601
LOC100499467,0.02275,0.047401265
LINC00511,0.08188,0.080137746
SLC39A11,-0.3699,0.616364132
COG1,0.06249,0.091944126
FAM104A,0.1254,0.423889106
C17orf80,0.1448,0.306624849
CPSF4L,0.05349,0.050561199
CDC42EP4,-0.2052,0.628378073
SDK2,-0.1379,0.325414398
RPL38,-0.2762,0.612610174
MGC16275,-0.1191,0.210842508
TTYH2,-0.1483,0.283662712
DNAI2,0.1056,0.104301273
BTBD17,0.02353,0.022505031
GPRC5C,-0.252,0.368962303
CD300A,-0.3589,0.463189134
CD300C,0.4471,0.60153915
C17orf77,-0.1925,0.288530218
CD300E,-0.1432,0.168258166
SLC9A3R1,-0.5844,0.930331903
NAT9,-0.04156,0.048905443
TMEM104,-0.02507,0.059184791
FDXR,-0.2796,0.388807939
FADS6,-0.3147,0.396098168
USH1G,0.1038,0.102867957
C17orf28,0.301,0.511026475
CDR2L,0.1981,0.509339347
ICT1,0.1473,0.436044535
ATP5H,0.09764,0.203217588
KCTD2,0.1976,0.509199048
ARMC7,0.1303,0.175939283
NT5C,-0.05944,0.140021558
HN1,0.1916,0.307064997
SUMO2,-0.1433,0.341893164
NUP85,-0.1494,0.234927799
GGA3,0.04601,0.074275473
MRPS7,0.2908,0.700710666
MIF4GD,-0.02569,0.04291974
LOC100287042,0.04943,0.062883489
SLC25A19,-0.09408,0.122974384
GRB2,0.102,0.287266141
KIAA0195,-0.02228,0.04982994
CASKIN2,0.1569,0.474048659
TSEN54,-0.1219,0.310602337
LLGL2,-0.3457,0.442372512
MYO15B,0.06372,0.062682752
RECQL5,-0.016,0.028492218
C17orf109,0.09375,0.094906032
SAP30BP,0.01478,0.022230682
GALK1,-0.3139,0.603800653
H3F3B,0.1051,0.199008139
UNK,0.06519,0.124244421
UNC13D,-0.1155,0.144359719
WBP2,0.1344,0.33592241
TRIM47,-0.04847,0.05153813
TRIM65,-0.1784,0.341797747
MRPL38,0.1853,0.706637445
FBF1,-0.2809,0.555799011
ACOX1,0.01436,0.03002527
ZACN,0.01153,0.010505687
EXOC7,0.03094,0.093018847
FOXJ1,0.1981,0.216739767
LOC100507218,-0.1226,0.222283261
RNF157,0.2025,0.352910571
FAM100B,-0.0881,0.098759698
QRICH2,0.1238,0.257274869
PRPSAP1,0.01474,0.051293691
AANAT,-0.1792,0.203286937
RHBDF2,-0.4185,0.687822644
CYGB,0.1922,0.303294219
PRCD,0.1163,0.128835867
LOC100507246,-0.2392,0.521145032
ST6GALNAC2,0.131,0.150028088
MXRA7,-0.1682,0.555955204
JMJD6,0.01571,0.017095882
METTL23,0.1144,0.182236368
SRSF2,-0.1551,0.350081281
MGAT5B,0.1463,0.226579277
SEC14L1,-0.06235,0.094473952
LINC00338,0.0873,0.123782159
LOC100507351,0.3743,0.63921731
TNRC6C,0.1605,0.247106845
TMC8,-0.08428,0.081235969
TK1,-0.302,0.355561411
AFMID,-0.5247,0.909389292
BIRC5,-0.4523,0.811915626
PGS1,-0.1821,0.951558196
CYTH1,0.2026,0.350081281
USP36,-0.04673,0.055122694
TIMP2,-0.1202,0.175223538
LOC100653515,-0.1904,0.233661525
LGALS3BP,-0.1523,0.299555899
C1QTNF1,-0.5626,0.829151796
ENGASE,0.1047,0.176265012
RBFOX3,0.2352,0.276544328
CBX2,-0.2588,0.426780173
CBX8,-0.04486,0.072424345
CBX4,0.08834,0.139661993
CCDC40,-0.05763,0.062783109
GAA,-0.1843,0.317493914
EIF4A3,0.0856,0.19695279
SGSH,-0.1153,0.232547282
SLC26A11,0.1062,0.24131515
RNF213,-0.2461,0.400116928
LOC100294362,0.2208,0.41453927
ENDOV,0.163,0.552067134
NPTX1,-0.1207,0.16481693
RPTOR,0.113,0.244125144
CHMP6,0.1758,0.240483241
FLJ90757,0.1732,0.28141528
AATK,0.2424,0.532243949
AATK-AS1,-0.178,0.194839098
AZI1,-0.1062,0.178814117
C17orf56,0.05719,0.155150199
C17orf89,-0.2078,0.330776126
SLC38A10,-0.125,0.165960982
LINC00482,-0.1398,0.144420277
TMEM105,-0.1664,0.173148052
BAHCC1,0.06207,0.076496933
ACTG1,-0.285,0.76700389
FSCN2,-0.1005,0.163232953
C17orf70,0.09699,0.230253533
NPLOC4,-0.01834,0.03231165
TSPAN10,-0.1838,0.204537106
PDE6G,0.2224,0.247644196
C17orf90,0.206,0.549135308
CCDC137,0.1005,0.146849564
ARL16,0.06208,0.138405855
HGS,0.03956,0.075358953
MRPL12,0.1568,0.312560225
SLC25A10,-0.2087,0.246187216
GCGR,-0.3173,0.429573822
FAM195B,0.09632,0.228045251
PPP1R27,-0.2044,0.223298816
ARHGDIA,-0.1261,0.315334136
ALYREF,-0.1083,0.17276
ANAPC11,0.01814,0.047643523
NPB,0.2422,0.412289035
PCYT2,0.03866,0.062281556
SIRT7,-0.1645,0.377578726
MAFG,-0.02503,0.037914919
MAFG-AS1,0.03144,0.030071811
MYADML2,0.03528,0.048225492
ASPSCR1,-0.1675,0.482408269
STRA13,0.009916,0.025442255
LRRC45,-0.05007,0.087777943
RAC3,-0.05356,0.070581074
RFNG,-0.218,0.362910726
GPS1,-0.03974,0.097181532
DUS1L,-0.1998,0.324863496
CCDC57,0.0562,0.064190546
SLC16A3,0.1568,0.169796401
CSNK1D,0.006916,0.013721044
CD7,-0.5732,0.854492829
SECTM1,-0.3158,0.546528766
TEX19,0.2655,0.306273051
UTS2R,-0.3449,0.422623108
C17orf101,-0.03193,0.046240308
HEXDC,-0.09243,0.177962752
C17orf62,0.04777,0.052027421
FOXK2,-0.05824,0.104964403
WDR45L,-0.1191,0.375614759
RAB40B,-0.07298,0.15832775
FN3KRP,0.03546,0.053203973
FN3K,0.0631,0.156642622
TBCD,-0.07875,0.202663199
ZNF750,0.1656,0.189229989
B3GNTL1,-0.2002,0.528855035
METRNL,0.2188,0.326794718
ROCK1P1,-0.358,0.572513891
USP14,-0.01583,0.060031709
THOC1,-0.1264,0.359220523
C18orf56,-0.05588,0.061880731
TYMS,-0.204,0.25352149
ENOSF1,-0.2859,0.727230413
YES1,-0.2016,0.394479477
ADCYAP1,-0.2442,0.388170521
METTL4,0.06384,0.146788665
NDC80,-0.4568,0.739928612
CBX3P2,0.4293,0.624519285
SMCHD1,-0.01948,0.054039296
LPIN2,-0.06907,0.109132061
LOC727896,-0.06199,0.08894898
MYOM1,0.2003,0.298345683
MYL12A,-0.4217,0.658367664
MYL12B,-0.1447,0.283913146
TGIF1,-0.3478,0.912218582
DLGAP1,-0.1796,0.270592203
FLJ35776,-0.5549,0.845576027
LOC339290,0.2021,0.499351937
ZFP161,-0.01626,0.033482824
EPB41L3,-0.2134,0.311580178
TMEM200C,-0.1027,0.132827249
L3MBTL4,-0.333,0.500587874
LAMA1,-0.2264,0.377371574
PTPRM,0.3579,0.968995719
RAB12,-0.02831,0.061830654
CCDC165,0.1119,0.173730781
NDUFV2,0.131,0.367745223
RAB31,-0.02611,0.026456531
TXNDC2,-0.281,0.329939783
VAPA,0.03923,0.104743247
APCDD1,0.1797,0.19172149
NAPG,0.2336,0.75276345
GNAL,0.09755,0.118045029
CHMP1B,0.1026,0.381742655
MPPE1,-0.04975,0.091139827
AFG3L2,-0.008776,0.019769309
SLMO1,-0.3261,0.435570673
SPIRE1,0.09299,0.252122294
PSMG2,-0.1215,0.270511231
CEP76,0.06659,0.130826973
SEH1L,0.009523,0.015877917
CEP192,-0.1208,0.180521872
C18orf1,-0.3131,0.425390059
FAM210A,-0.11,0.162600976
RNMT,0.1377,0.395665927
ZNF519,0.1395,0.369572125
ANKRD20A5P,0.2525,0.306624849
CXADRP3,0.3988,0.562249437
ANKRD30B,-0.07805,0.093126465
ROCK1,-0.2424,0.759450752
GREB1L,0.1162,0.14014148
ESCO1,0.1505,0.407490152
SNRPD1,0.002279,0.004057837
ABHD3,-0.07013,0.09772508
MIB1,-0.005936,0.009483556
CTAGE1,0.1776,0.187554597
RBBP8,-0.1784,0.23852322
TMEM241,-0.1483,0.316412682
RIOK3,-0.1223,0.208590084
C18orf8,0.05517,0.150089442
NPC1,-0.02299,0.033999142
ANKRD29,-0.1161,0.115998075
LAMA3,-0.5501,0.857923539
TTC39C,-0.1826,0.250727592
CABYR,-0.06477,0.092373695
OSBPL1A,-0.008712,0.025995203
IMPACT,-0.06828,0.098160408
HRH4,-0.103,0.145026326
ZNF521,-0.04526,0.080869586
SS18,-0.02004,0.035269079
TAF4B,-0.168,0.219682688
KCTD1,0.1418,0.304693478
LOC728606,0.2181,0.243439957
AQP4,0.09245,0.090016305
CHST9-AS1,-0.1038,0.113847818
CHST9,-0.07023,0.067323341
CDH2,0.09765,0.241693818
DSC3,-0.2028,0.241921178
DSC1,-0.173,0.184754408
B4GALT6,0.1064,0.280254507
TRAPPC8,0.03094,0.095825632
RNF125,-0.515,0.742801574
RNF138,0.01699,0.034422042
FAM59A,-0.245,0.354970935
WBP11P1,0.006644,0.014349026
KLHL14,0.0152,0.019996628
C18orf34,-0.4616,0.626720107
ASXL3,0.05775,0.101768615
NOL4,0.2081,0.415442639
DTNA,0.09856,0.179142011
MAPRE2,0.3274,0.897566294
ZNF397,0.1103,0.196269829
ZSCAN30,-0.1065,0.209011525
ZNF271,0.08551,0.171597922
ZNF24,0.01314,0.02346662
ZNF396,0.2492,0.280668713
INO80C,-0.1969,0.52900183
GALNT1,-0.1178,0.174703736
C18orf21,0.01925,0.032920266
RPRD1A,0.166,0.42078822
SLC39A6,0.1782,0.513994814
ELP2,0.01401,0.029374223
MOCOS,-0.5579,0.831502516
FHOD3,0.03205,0.076963331
TPGS2,-0.01316,0.032826577
KIAA1328,0.02604,0.044986097
CELF4,0.2986,0.523748204
LOC647946,-0.05104,0.050414849
KC6,-0.1148,0.138585081
PIK3C3,-0.02436,0.050463627
LOC284260,-0.1693,0.184621515
SYT4,0.216,0.4529641
SETBP1,0.1139,0.422393323
EPG5,-0.04865,0.081445469
PSTPIP2,-0.1727,0.396098168
HAUS1,-0.07649,0.134718315
C18orf25,0.03459,0.060780364
RNF165,0.1511,0.179470151
ST8SIA5,0.04609,0.047740463
PIAS2,-0.1657,0.450506287
KATNAL2,-0.2424,0.354479485
HDHD2,0.1424,0.364415734
IER3IP1,0.1363,0.255941834
SMAD2,-0.1976,0.835349784
ZBTB7C,0.02078,0.02420069
CTIF,0.254,0.42945706
SMAD7,-0.4012,0.868381336
DYM,-0.2351,0.379863945
C18orf32,0.2077,0.517984424
RPL17,0.07077,0.073709013
SNORD58C,-0.1844,0.240483241
SNORD58A,-0.09489,0.100617294
LIPG,-0.1132,0.145147638
SCARNA17,-0.0679,0.064341614
CCDC11,0.295,0.524183587
MBD1,0.1119,0.68131073
CXXC1,-0.001967,0.00414552
MAPK4,0.08287,0.129245055
MRO,0.1122,0.13418562
ME2,-0.1977,0.805485658
SMAD4,-0.07251,0.150028088
MEX3C,0.03566,0.108239599
LOC100287225,-0.06032,0.056950889
DCC,0.101,0.110082317
MBD2,-0.06811,0.173601218
POLI,-0.06783,0.142366015
STARD6,0.6231,0.952335805
C18orf54,-0.1627,0.251424383
RAB27B,0.2328,0.293794458
TCF4,-0.1654,0.258454483
TXNL1,-0.08828,0.204258979
WDR7,0.1518,0.848936747
BOD1P,0.1793,0.257667718
ST8SIA3,-0.455,0.618343517
FECH,-0.2851,0.462558717
NARS,-0.1128,0.303556237
LOC100505549,-0.02377,0.032873419
MALT1,-0.1487,0.351054818
ZNF532,-0.0761,0.166215625
SEC11C,0.2476,0.886390849
CCBE1,-0.5159,0.749824052
PMAIP1,-0.07426,0.113452877
CDH20,-0.05549,0.052517263
PIGN,-0.1559,0.23047498
KIAA1468,0.114,0.388701638
TNFRSF11A,0.2765,0.318577844
ZCCHC2,0.007113,0.012736046
PHLPP1,0.1621,0.536256279
KDSR,-0.05602,0.114412644
SERPINB7,-0.5031,0.823908741
SERPINB8,-0.07909,0.078938109
TMX3,-0.06173,0.164246032
CCDC102B,-0.02124,0.023650021
CD226,0.2513,0.285754089
RTTN,-0.1988,0.454940415
SOCS6,0.01686,0.07227044
NETO1,0.5432,0.801342913
FBXO15,-0.01132,0.01103993
TIMM21,0.00284,0.005330978
CYB5A,-0.01784,0.031330298
CNDP1,0.04548,0.044264158
LOC400657,0.2439,0.299988938
ZNF407,0.01479,0.036401037
ZADH2,0.2078,0.503623946
TSHZ1,0.2992,0.837137007
LOC284276,-0.3908,0.501689446
LOC100131655,0.3018,0.367239112
ZNF236,-0.03324,0.06469431
MBP,-0.2641,0.376957566
ATP9B,-0.1542,0.439256699
NFATC1,-0.4837,0.673664139
CTDP1,0.006072,0.011976438
KCNG2,0.4973,0.688882157
PQLC1,0.1817,0.548981548
HSBP1L1,0.003397,0.005243055
TXNL4A,-0.02377,0.054777683
RBFA,-0.05895,0.157952711
ADNP2,0.1685,0.962573502
LOC100130522,0.01011,0.010550182
PARD6G,-0.2561,0.696156225
FLJ45445,-0.2258,0.250727592
PPAP2C,-0.5566,0.807711387
MIER2,0.04049,0.067779986
C2CD4C,-0.1875,0.316052869
SHC2,-0.1303,0.146301788
ODF3L2,0.1094,0.113001954
MADCAM1,-0.58,0.946153573
TPGS1,0.009989,0.024982002
CDC34,-0.1053,0.218316415
GZMM,-0.1666,0.173342208
HCN2,0.1869,0.241163775
POLRMT,-0.2054,0.347850395
FGF22,-0.2701,0.309892561
RNF126,0.006045,0.014798142
PRSS57,-0.02669,0.025350166
PALM,0.1363,0.322575562
C19orf21,-0.1255,0.126098402
LPPR3,0.1611,0.299729063
AZU1,-0.04158,0.039814723
PRTN3,-0.03875,0.037251947
CFD,-0.04446,0.045371622
MED16,0.08887,0.258060922
R3HDM4,0.004107,0.008508111
KISS1R,0.1836,0.279592599
ARID3A,-0.2583,0.356744775
WDR18,-0.1526,0.301638434
GRIN3B,0.351,0.64054398
ABCA7,0.06038,0.064744718
HMHA1,0.02832,0.035787527
GPX4,-0.02924,0.045854011
STK11,0.004638,0.010550182
C19orf26,0.2279,0.387958255
ATP5D,-0.00817,0.024292536
MIDN,0.06681,0.0970186
CIRBP,-0.1388,0.328364403
C19orf24,0.1215,0.16768273
EFNA2,0.2644,0.645699438
MUM1,0.2684,0.961777362
NDUFS7,0.103,0.190507623
GAMT,-0.2467,0.714442691
DAZAP1,-0.1141,0.283245643
RPS15,-0.2663,0.696587929
APC2,0.1996,0.857297754
C19orf25,0.1889,0.878768545
PCSK4,-0.1037,0.176395372
REEP6,-0.1427,0.244811414
ADAMTSL5,-0.5542,0.80631897
PLK5,-0.1319,0.136915175
MBD3,0.0674,0.132532512
UQCR11,0.02965,0.056505484
TCF3,-0.1531,0.416801226
ONECUT3,-0.1436,0.17776652
ATP8B3,-0.3255,0.550213153
REXO1,0.06176,0.101110344
LOC100288123,-0.3221,0.38563016
FAM108A1,0.02168,0.048079926
SCAMP4,-0.00543,0.012959713
ADAT3,-0.161,0.300682699
CSNK1G2,-0.1536,0.418391634
BTBD2,-0.1856,0.409492538
MKNK2,-0.0747,0.145390362
MOB3A,-0.07084,0.087087449
IZUMO4,-0.1692,0.184953824
AP3D1,0.03214,0.106682188
DOT1L,-0.0215,0.025949097
PLEKHJ1,0.06178,0.149966742
SF3A2,0.01019,0.012959713
AMH,0.2245,0.259321575
OAZ1,0.05018,0.095068173
C19orf35,-0.5696,0.834458923
LINGO3,0.477,0.842241114
LSM7,0.08796,0.212256228
SPPL2B,-0.1206,0.242679903
TIMM13,-0.001839,0.004364805
LMNB2,-0.03267,0.070836617
GNG7,0.2018,0.314079208
DIRAS1,0.3046,0.795066478
THOP1,0.04144,0.0970186
ZNF555,0.1532,0.361510743
ZNF556,-0.0188,0.017050711
ZNF57,0.124,0.200108315
ZNF77,0.1225,0.427476902
TLE6,-0.1227,0.128485441
TLE2,-0.3784,0.479647496
AES,0.03068,0.084336396
GNA11,0.1246,0.1786175
NCLN,-0.1647,0.374173287
C19orf77,0.441,0.595337299
DOHH,0.1896,0.86518563
MFSD12,0.03868,0.09323411
C19orf71,0.1501,0.346016093
HMG20B,-0.1799,0.328271912
TBXA2R,0.01914,0.017276612
C19orf29-AS1,-0.0146,0.013631406
C19orf29,0.09043,0.235077015
PIP5K1C,0.03958,0.082599532
TJP3,0.1963,0.222790742
APBA3,0.0599,0.130650919
MRPL54,0.06489,0.148680487
MATK,0.06109,0.060281118
ZFR2,0.3796,0.615825861
ITGB1BP3,-0.4723,0.650139918
MIR637,-0.1148,0.125170422
PIAS4,0.1159,0.312471039
ZBTB7A,-0.144,0.417822962
CREB3L3,-0.08285,0.086027288
SIRT6,0.1624,0.528855035
ANKRD24,0.1142,0.158828306
EBI3,-0.238,0.312471039
CCDC94,0.1105,0.563996464
SHD,0.2784,0.368353337
TMIGD2,-0.4318,0.582528307
FSD1,0.1571,0.253599356
MPND,-0.03694,0.077378328
SH3GL1,-0.06952,0.176069545
CHAF1A,-0.1029,0.113622093
HDGFRP2,-0.04748,0.113847818
PLIN4,-0.1459,0.159266765
PLIN5,-0.2063,0.237771716
SEMA6B,0.1531,0.191181575
TNFAIP8L1,-0.2348,0.94577009
C19orf10,-0.009376,0.018725167
DPP9,0.004926,0.010016542
LOC100131094,-0.1747,0.198321941
MIR7-3HG,0.08572,0.086292086
MIR7-3,0.08417,0.110754339
FEM1A,0.2234,0.655018586
PLIN3,-0.3,0.938924676
UHRF1,-0.2331,0.285754089
KDM4B,0.05254,0.203217588
PTPRS,0.121,0.162853656
ZNRF4,0.06024,0.056554951
SAFB2,0.09989,0.175743962
SAFB,0.07053,0.159893906
C19orf70,0.007911,0.009084245
HSD11B1L,0.1904,0.743763467
RPL36,-0.3367,0.807990407
LONP1,-0.02335,0.047013935
CATSPERD,0.02656,0.024476287
PRR22,-0.1974,0.223226198
DUS3L,0.0653,0.128368695
NRTN,-0.06188,0.072321736
FUT6,-0.09008,0.087990624
FUT5,0.2093,0.231583912
NDUFA11,0.02117,0.032358436
VMAC,-0.05221,0.061030203
RANBP3,0.02746,0.077689837
LOC100128568,-0.05742,0.055517328
RFX2,0.1943,0.357139947
ACSBG2,-0.324,0.419873675
MLLT1,0.1669,0.336676066
CLPP,-0.01047,0.019451261
ALKBH7,-0.07294,0.097398869
PSPN,0.3459,0.472627917
GTF2F1,0.01815,0.028538595
KHSRP,-0.02422,0.059284343
SLC25A41,0.08353,0.11582793
SLC25A23,-0.109,0.249491605
CRB3,0.1653,0.182500738
DENND1C,-0.1482,0.165642887
TUBB4A,0.274,0.37161107
SH2D3A,-0.4922,0.831502516
ZNF557,0.282,0.455683858
INSR,-0.002359,0.004935466
ARHGEF18,0.08576,0.337431033
LOC100128573,0.1622,0.170246081
PEX11G,-0.06832,0.064996849
C19orf45,0.08583,0.088097004
ZNF358,-0.01352,0.030863766
MCOLN1,0.1621,0.256803919
PNPLA6,0.05616,0.118672416
CAMSAP3,0.2017,0.318758763
C19orf79,0.06985,0.219610672
PCP2,0.1369,0.140261434
STXBP2,0.06189,0.072783669
C19orf59,-0.393,0.518844129
TRAPPC5,0.07141,0.130006
CD209,0.1632,0.169796401
CLEC4GP1,0.0416,0.043351421
EVI5L,0.1868,0.576754126
LOC388499,0.007484,0.008818242
MAP2K7,-0.03538,0.04982994
LOC100507588,-0.127,0.139602095
SNAPC2,-0.2971,0.442492798
CTXN1,0.3342,0.818442226
TIMM44,0.02932,0.044745317
ELAVL1,-0.06766,0.122053048
CCL25,-0.07157,0.071245798
FBN3,-0.1566,0.301986496
CERS4,-0.03202,0.039101323
CD320,-0.1185,0.346401618
NDUFA7,0.05518,0.20495463
RPS28,-0.3808,0.508078287
KANK3,0.1332,0.219250769
RAB11B,0.081,0.172436889
Mar-02,0.07892,0.133004187
HNRNPM,0.01107,0.010861776
PRAM1,0.1667,0.176199846
ZNF414,0.05454,0.139422449
MYO1F,-0.1004,0.151441428
ADAMTS10,-0.2581,0.595508382
ZNF558,0.03988,0.039624369
ZNF317,0.1448,0.377578726
OR7D2,0.07266,0.082441979
ZNF699,0.1629,0.307505592
ZNF559-ZNF177,-0.1157,0.117646254
ZNF266,0.1245,0.201280315
ZNF426,-0.09299,0.18243463
ZNF121,0.08848,0.108295324
ZNF561,-0.1804,0.416121402
LOC284385,-0.03454,0.051831638
ZNF562,0.211,0.480434499
ZNF846,0.08106,0.119186408
FBXL12,-0.1838,0.470698002
UBL5,0.03811,0.087990624
PIN1,0.03311,0.081550258
OLFM2,0.1847,0.263284866
C19orf66,-0.06616,0.078157519
